nsteps,crw_κ,w,brw_κ,mean_resultant_length
20,3.4,0.0,0.01,0.2087348547176199
20,3.4,0.25,0.01,0.19211330982298155
20,3.4,0.5,0.01,0.09671162722279734
20,3.4,0.75,0.01,0.09462130866792988
20,3.4,1.0,0.01,0.10128469429841198
20,3.4,0.0,0.14,0.2094285429505312
20,3.4,0.25,0.14,0.32613961153732746
20,3.4,0.5,0.14,0.5619476618671262
20,3.4,0.75,0.14,0.7617373205353558
20,3.4,1.0,0.14,0.7981538802811503
20,3.4,0.0,2.0,0.20958746226410105
20,3.4,0.25,2.0,0.8810079718383422
20,3.4,0.5,2.0,0.9766484225016103
20,3.4,0.75,2.0,0.9862155786972858
20,3.4,1.0,2.0,0.9876618179152308
20,3.4,0.0,28.28,0.20986662399106132
20,3.4,0.25,28.28,0.9306285663511639
20,3.4,0.5,28.28,0.9916101314719
20,3.4,0.75,28.28,0.9984618692300921
20,3.4,1.0,28.28,0.9991426328301662
20,3.4,0.0,400.0,0.2086469190691114
20,3.4,0.25,400.0,0.9323402460856671
20,3.4,0.5,400.0,0.9922610166968426
20,3.4,0.75,400.0,0.9992161102296606
20,3.4,1.0,400.0,0.9999403602206508
